speaker,date,vid.title,vid.url,vid.youtubeid,vid.id,id
Romney,2012-10-29,"Mitt Romney Campaign Rally In Davenport, Iowa - October 29 2012",http://electad.com/video/mitt-romney-campaign-rally-in-davenport-iowa-october-29-2012/,4I4gQcRBVnQ,ID_21,Romney_20121029_speech1
Romney,2012-10-30,"Mitt Romney Sandy Relief Event in Kettering, Ohio - October 30 2012",http://electad.com/video/mitt-romney-sandy-relief-event-in-kittering-ohio-october-30-2012/,IliPPCDJAiM,ID_20,Romney_20121030_speech1
Romney,2012-10-31,"Mitt Romney Campaign Rally With Jeb Bush and Marco Rubio in Tampa, Florida - October 312012",http://electad.com/video/mitt-romney-campaign-rally-with-jeb-bush-and-marco-rubio-in-tampa-florida-october-312012/,Ar9NFUAWGNg,ID_19,Romney_20121031_speech1
Romney,2012-10-31,"Mitt Romney Campaign Rally With Jeb Bush in Jacksonville, Florida, Florida - October 31 2012",http://electad.com/video/mitt-romney-campaign-rally-with-jeb-bush-in-jacksonville-florida-florida-october-31-2012/,kc8UxUO9j6Q,ID_18,Romney_20121031_speech2
Romney,2012-11-01,"Mitt Romney Campaign Rally In Doswell, Virginia - November 1 2012",http://electad.com/video/mitt-romney-campaign-rally-in-doswell-virginia-november-1-2012/,DsJ2u8kJ4WA,ID_15,Romney_20121101_speech1
Romney,2012-11-01,"Mitt Romney Campaign Rally In Roanoke, Virginia - November 1 2012",http://electad.com/video/mitt-romney-campaign-rally-in-roanoke-virginia-november-1-2012/,bx7poBXEBVk,ID_17,Romney_20121101_speech2
Romney,2012-11-01,"Mitt Romney Campaign Rally In Virginia Beach, Virginia - November 1 2012",http://electad.com/video/mitt-romney-campaign-rally-in-virginia-beach-virginia-november-1-2012/,pehathFsZts,ID_13,Romney_20121101_speech3
Romney,2012-11-02,"Mitt Romney & Paul Ryan Campaign Rally in  West Chester, Ohio - November 2 2012",http://electad.com/video/mitt-romney-paul-ryan-campaign-rally-in-west-chester-ohio-november-2-2012/,nYBElh4E5dA,ID_9,Romney_20121102_speech1
Romney,2012-11-02,"Mitt Romney '''Closing Arguments' Speech In West Allis, Wisconsin - November 2 2012",http://electad.com/video/mitt-romney-closing-arguments-speech-in-west-allis-wisconsin-november-2-2012/,NME_HtteW1I,ID_10,Romney_20121102_speech2
Romney,2012-11-02,"Mitt Romney Campaign Rally In West Allis, Wisconsin (Full Event) - November 2 2012",http://electad.com/video/mitt-romney-campaign-rally-in-west-allis-wisconsin-full-event-november-2-2012/,t2WCI8x7HEg,ID_11,Romney_20121102_speech3
Romney,2012-11-04,"Mitt Romney Campaign Rally In Morrisville, Pennsylvania - November 4 2012",http://electad.com/video/mitt-romney-campaign-rally-in-morrisville-pennsylvania-november-4-2012/,hMhAPjbxS54,ID_5,Romney_20121104_speech1
Romney,2012-11-05,"Mitt & Ann Romney Campaign Rally in Manchester, New Hampshire - November 5 2012",http://electad.com/video/mitt-ann-romney-campaign-rally-in-manchester-new-hampshire-november-5-2012/,Rk_hfZY41nQ,ID_3,Romney_20121105_speech1
Romney,2012-11-06,Mitt Romney Election Night Concession Speech - November 6 2012,http://electad.com/video/mitt-romney-election-night-concession-speech-november-6-2012/,HHuOcgMa4RA,ID_2,Romney_20121106_speech1
